,Price_AAPL,Price_AMZN,Price_BA,Price_DIS,Price_GOOGL,Price_INTC,Price_MSFT,Price_NKE,Price_NVDA,Price_SBUX
2004-08-19,2.1935713291168213,38.630001068115234,50.25,22.09760093688965,50.22021865844727,22.01000022888184,27.1200008392334,9.206250190734863,3.886666774749756,11.162500381469728
2004-08-20,2.200000047683716,39.5099983215332,50.459999084472656,22.137060165405277,54.20920944213867,21.6200008392334,27.200000762939453,9.282500267028809,4.116666793823242,11.260000228881836
2004-08-21,2.200000047683716,39.5099983215332,50.459999084472656,22.137060165405277,54.20920944213867,21.6200008392334,27.200000762939453,9.282500267028809,4.116666793823242,11.260000228881836
2004-08-22,2.200000047683716,39.5099983215332,50.459999084472656,22.137060165405277,54.20920944213867,21.6200008392334,27.200000762939453,9.282500267028809,4.116666793823242,11.260000228881836
2004-08-23,2.220000028610229,39.45000076293945,50.650001525878906,21.870704650878903,54.75475311279297,21.88999938964844,27.239999771118164,9.24250030517578,4.206666469573975,11.2475004196167
2004-08-24,2.282142877578736,39.04999923706055,50.90999984741211,22.00881576538086,52.48748779296875,21.670000076293945,27.239999771118164,9.30875015258789,4.050000190734863,11.414999961853027
2004-08-25,2.360714197158813,40.29999923706055,52.5,22.196250915527344,53.05305480957031,21.950000762939453,27.549999237060547,9.381250381469728,4.223333358764648,11.510000228881836
2004-08-26,2.4757142066955566,40.18999862670898,52.06999969482422,22.37381935119629,54.009010314941406,21.770000457763672,27.440000534057617,9.494999885559082,4.233333110809326,10.767499923706056
2004-08-27,2.453571319580078,39.900001525878906,51.9900016784668,22.35408973693848,53.12812805175781,22.020000457763672,27.459999084472656,9.493749618530272,4.313333511352539,10.642499923706056
2004-08-28,2.453571319580078,39.900001525878906,51.9900016784668,22.35408973693848,53.12812805175781,22.020000457763672,27.459999084472656,9.493749618530272,4.313333511352539,10.642499923706056
2004-08-29,2.453571319580078,39.900001525878906,51.9900016784668,22.35408973693848,53.12812805175781,22.020000457763672,27.459999084472656,9.493749618530272,4.313333511352539,10.642499923706056
2004-08-30,2.437142848968506,38.310001373291016,51.869998931884766,22.09760093688965,51.05605697631836,21.600000381469727,27.299999237060547,9.3412504196167,4.170000076293945,10.6899995803833
2004-08-31,2.463571310043335,38.13999938964844,52.220001220703125,22.14692497253418,51.236236572265625,21.290000915527344,27.299999237060547,9.41374969482422,4.153333187103272,10.8100004196167
2004-09-01,2.5614285469055176,38.2400016784668,52.38999938964844,22.1765193939209,50.175174713134766,21.43000030517578,27.38999938964844,9.510000228881836,4.233333110809326,10.807499885559082
2004-09-02,2.547142744064331,39.18000030517578,53.619998931884766,22.23571014404297,50.80580520629883,21.6299991607666,27.6200008392334,9.585000038146973,4.4066667556762695,11.100000381469728
2004-09-03,2.5164284706115723,38.7400016784668,53.09999847412109,22.068004608154297,50.0550537109375,20.049999237060547,27.11000061035156,9.60124969482422,4.273333549499512,11.09000015258789
2004-09-04,2.5164284706115723,38.7400016784668,53.09999847412109,22.068004608154297,50.0550537109375,20.049999237060547,27.11000061035156,9.60124969482422,4.273333549499512,11.09000015258789
2004-09-05,2.5164284706115723,38.7400016784668,53.09999847412109,22.068004608154297,50.0550537109375,20.049999237060547,27.11000061035156,9.60124969482422,4.273333549499512,11.09000015258789
2004-09-06,2.5164284706115723,38.7400016784668,53.09999847412109,22.068004608154297,50.0550537109375,20.049999237060547,27.11000061035156,9.60124969482422,4.273333549499512,11.09000015258789
2004-09-07,2.554285764694214,38.5099983215332,53.970001220703125,22.383684158325195,50.84083938598633,19.88999938964844,27.36000061035156,9.649999618530272,4.193333148956299,11.095000267028809
2004-09-08,2.596428632736206,38.0099983215332,54.04999923706055,22.580984115600582,51.201202392578125,19.71999931335449,27.26000022888184,9.668749809265137,4.106666564941406,11.079999923706056
2004-09-09,2.549999952316284,38.06999969482422,53.2599983215332,22.551389694213867,51.20620727539063,20.170000076293945,27.280000686645508,9.366250038146973,4.516666889190674,11.154999732971191
2004-09-10,2.562142848968506,38.56999969482422,54.150001525878906,22.847339630126957,52.717716217041016,20.56999969482422,27.489999771118164,9.456250190734863,4.690000057220459,11.21500015258789
2004-09-11,2.562142848968506,38.56999969482422,54.150001525878906,22.847339630126957,52.717716217041016,20.56999969482422,27.489999771118164,9.456250190734863,4.690000057220459,11.21500015258789
2004-09-12,2.562142848968506,38.56999969482422,54.150001525878906,22.847339630126957,52.717716217041016,20.56999969482422,27.489999771118164,9.456250190734863,4.690000057220459,11.21500015258789
2004-09-13,2.542142868041992,40.0099983215332,54.27999877929688,23.00518035888672,53.803802490234375,20.799999237060547,27.25,9.44124984741211,4.78000020980835,11.25749969482422
2004-09-14,2.5350000858306885,42.66999816894531,53.91999816894531,22.936124801635746,55.80080032348633,20.770000457763672,27.440000534057617,9.460000038146973,4.800000190734863,11.49250030517578
2004-09-15,2.5142858028411865,42.209999084472656,53.65999984741211,22.699365615844727,56.05605697631836,20.420000076293945,27.190000534057617,9.537500381469728,4.5333333015441895,11.354999542236328
2004-09-16,2.596428632736206,42.56999969482422,54.52000045776367,23.0841007232666,57.04204177856445,20.11000061035156,27.26000022888184,9.625,4.703333377838135,11.404999732971191
2004-09-17,2.6528570652008057,42.959999084472656,55.150001525878906,23.10383033752441,58.803802490234375,20.59000015258789,27.51000022888184,9.56999969482422,4.896666526794434,11.512499809265137
2004-09-18,2.6528570652008057,42.959999084472656,55.150001525878906,23.10383033752441,58.803802490234375,20.59000015258789,27.51000022888184,9.56999969482422,4.896666526794434,11.512499809265137
